Id,Label,Interval,Degree,modularity_Class,stat_inf_Class
1466,,,72,0,48
1641,,,49,0,53
21,,,77,2,87
2599,,,21,0,46
3160,,,49,0,135
3408,,,83,1,78
908,,,70,0,116
910,,,28,0,81
1250,,,17,0,125
1907,,,11,0,100
2076,,,23,0,81
3176,,,26,0,174
3255,,,12,0,39
4239,,,56,1,200
920,,,11,0,81
3967,,,9,1,189
150,,,263,2,97
153,,,81,2,60
253,,,125,2,85
300,,,57,2,85
34,,,165,2,95
344,,,169,2,214
36,,,35,2,89
364,,,349,2,140
39,,,101,2,82
410,,,53,2,137
474,,,72,2,109
589,,,438,2,38
594,,,109,2,18
597,,,224,2,178
261,,,13,2,55
265,,,1,2,43
10,,,203,2,88
104,,,132,2,216
11,,,51,2,87
141,,,64,2,89
16,,,134,2,48
161,,,82,2,54
165,,,172,2,14
185,,,67,2,87
2,,,152,2,96
208,,,63,2,137
225,,,31,2,14
266,,,39,2,93
292,,,75,2,109
293,,,275,0,8
317,,,53,2,94
32,,,368,2,98
329,,,91,2,165
339,,,85,2,93
350,,,34,2,109
353,,,58,2,85
377,,,272,2,90
380,,,273,2,3
434,,,55,2,54
440,,,77,2,26
454,,,76,2,87
508,,,50,2,94
520,,,33,2,84
539,,,100,2,89
587,,,140,2,82
95,,,30,2,144
62,,,55,2,88
7,,,5,2,89
145,,,15,2,14
168,,,3,2,3
17,,,30,2,89
224,,,15,2,55
236,,,19,2,93
25,,,37,2,60
337,,,70,2,93
370,,,11,2,3
509,,,22,2,82
112,,,12,2,60
158,,,15,2,14
252,,,7,2,55
282,,,6,2,55
497,,,11,2,178
160,,,6,2,14
432,,,6,2,14
31,,,2,2,73
524,,,2,2,73
628,,,1,2,98
485,,,7,2,3
616,,,7,2,18
494,,,2,2,61
802,,,3,2,61
1101,,,117,0,29
1584,,,103,0,133
1610,,,202,0,59
1682,,,362,1,118
1917,,,126,0,27
2019,,,46,0,129
3114,,,211,0,180
32587,,,235,1,155
3916,,,16,1,175
3994,,,128,1,103
4306,,,382,1,112
45499,,,63,1,142
45517,,,32,1,134
4886,,,312,1,191
49272,,,190,1,72
4963,,,336,1,32
4993,,,431,1,6
4995,,,277,1,204
5218,,,176,1,187
5349,,,309,1,221
5445,,,301,1,161
5464,,,53,1,228
5618,,,148,1,124
5816,,,240,1,113
5952,,,406,1,131
5989,,,318,1,158
5991,,,35,1,187
6333,,,167,1,145
6365,,,175,1,148
6539,,,363,1,227
6863,,,130,1,190
7143,,,165,1,107
7153,,,397,1,159
750,,,189,0,125
8360,,,208,1,134
8636,,,174,1,193
8665,,,173,1,211
8961,,,309,1,136
924,,,229,0,202
2671,,,13,0,168
2717,,,13,0,99
34048,,,25,1,194
4018,,,25,1,187
4370,,,70,1,104
466,,,9,2,3
5459,,,23,1,187
8528,,,20,1,61
8949,,,5,0,212
30812,,,1,2,50
7445,,,2,2,73
8984,,,4,1,114
586,,,140,2,165
1674,,,11,0,73
2011,,,193,0,195
5378,,,172,1,173
5481,,,24,1,15
5902,,,21,1,189
5956,,,85,1,75
1088,,,2,2,178
1247,,,131,0,122
1307,,,174,0,168
1784,,,181,0,167
33794,,,287,1,224
6377,,,335,1,108
30749,,,32,1,189
31685,,,2,2,189
33679,,,28,1,185
40819,,,16,1,204
51662,,,211,1,226
54286,,,131,1,203
56367,,,79,1,206
68954,,,211,1,207
6942,,,61,1,207
69844,,,49,1,151
73017,,,111,1,163
7458,,,39,1,226
81845,,,43,1,153
96079,,,43,1,163
4447,,,22,1,178
47099,,,9,1,114
5377,,,7,1,114
63113,,,9,1,74
7293,,,6,1,114
7451,,,4,1,189
79091,,,13,1,162
8529,,,18,1,204
88163,,,1,2,50
1370,,,70,2,29
1608,,,57,2,49
1721,,,220,1,27
529,,,10,2,97
1358,,,25,0,5
2100,,,26,0,168
1639,,,29,0,13
3753,,,61,0,17
3977,,,19,1,61
4011,,,231,1,41
3300,,,6,0,114
3717,,,18,0,61
288,,,64,2,54
111759,,,42,1,153
112556,,,5,1,153
134130,,,36,1,152
48780,,,202,1,150
50872,,,114,1,192
60069,,,193,1,151
70286,,,96,1,146
72998,,,175,1,154
7438,,,300,1,12
858,,,399,0,223
122886,,,24,1,152
1200,,,256,0,10
1527,,,283,0,36
1653,,,188,0,171
2001,,,21,0,19
2081,,,105,0,18
33493,,,176,1,194
3499,,,37,0,147
3510,,,3,0,114
3535,,,83,1,200
3949,,,175,1,128
4022,,,227,1,175
4720,,,73,1,35
48774,,,122,1,222
56174,,,80,1,146
64614,,,46,1,154
6502,,,93,1,103
7254,,,22,1,204
8644,,,104,1,142
91500,,,35,1,153
134853,,,15,1,153
68237,,,5,1,74
85414,,,8,1,74
96610,,,2,1,114
69757,,,1,2,50
84152,,,1,1,74
111,,,192,0,5
1148,,,52,0,25
1193,,,270,0,121
1199,,,87,0,166
1201,,,138,0,129
1207,,,63,0,116
1252,,,64,0,116
1276,,,61,0,122
3000,,,54,1,124
4226,,,386,1,160
48394,,,143,1,149
4878,,,228,1,228
4973,,,204,1,189
541,,,281,0,123
7361,,,277,1,130
913,,,30,0,1
1230,,,36,0,125
745,,,10,0,180
1261,,,8,0,5
2490,,,5,0,114
3108,,,8,2,123
78499,,,65,1,110
5971,,,12,1,124
27773,,,13,2,74
3174,,,2,1,114
1036,,,373,0,225
1221,,,294,0,205
1228,,,32,0,125
1234,,,71,0,116
1375,,,33,0,177
2194,,,121,0,30
3039,,,27,0,39
4571,,,26,0,15
6016,,,91,1,127
68358,,,99,1,110
6870,,,73,1,149
80463,,,62,1,157
1263,,,40,0,126
3681,,,16,0,129
64839,,,19,1,74
31658,,,19,1,124
109374,,,48,1,163
112852,,,81,1,157
1246,,,157,0,149
1356,,,94,0,133
1374,,,64,0,177
1391,,,99,0,177
1544,,,22,0,123
1961,,,211,0,23
2324,,,122,0,164
2706,,,138,0,216
2918,,,325,0,215
30793,,,38,1,138
3081,,,100,0,169
3275,,,85,1,31
34405,,,60,1,72
3751,,,119,1,25
4262,,,144,1,200
44191,,,249,1,156
442,,,54,2,109
45722,,,142,1,139
46578,,,125,1,222
4816,,,63,1,206
53125,,,39,1,154
5418,,,266,1,185
54272,,,64,1,192
5669,,,97,1,218
5903,,,71,1,148
59315,,,209,1,162
59784,,,54,1,157
6373,,,103,1,190
6378,,,103,1,182
653,,,23,2,60
69122,,,158,1,198
7147,,,126,1,139
778,,,220,0,199
8368,,,197,1,196
8784,,,66,1,117
89745,,,105,1,152
102125,,,2,1,162
1729,,,53,0,5
2278,,,18,0,8
2951,,,27,0,129
44665,,,38,1,226
555,,,53,2,48
6934,,,99,1,142
7373,,,39,1,145
1059,,,3,2,114
122904,,,43,1,152
6807,,,30,0,66
38061,,,39,1,107
431,,,18,2,144
51540,,,27,1,162
60684,,,49,1,146
76251,,,40,1,163
8950,,,25,1,150
116797,,,19,1,153
110102,,,1,1,152
111362,,,4,1,152
77561,,,41,1,151
87232,,,28,1,151
88140,,,6,1,152
33004,,,25,1,155
57669,,,34,1,75
119145,,,4,1,74
1371,,,2,0,4
2420,,,12,0,4
37729,,,27,1,124
44199,,,19,1,156
60040,,,8,0,114
79702,,,34,1,110
98809,,,15,1,152
139385,,,2,2,74
5995,,,26,1,119
2002,,,2,2,114
8361,,,12,1,229
33615,,,6,1,114
36529,,,6,1,114
4643,,,1,1,114
53972,,,1,1,114
55247,,,6,1,114
55765,,,10,1,74
5679,,,9,1,229
72011,,,8,1,74
86332,,,2,1,114
88129,,,9,1,74
91542,,,14,1,152
91658,,,6,1,74
44555,,,4,1,43
64957,,,3,1,73
56757,,,1,2,50
53996,,,1,1,227
1079,,,121,0,53
1376,,,17,0,177
1380,,,48,0,181
1394,,,82,0,13
1407,,,60,0,220
1485,,,54,0,214
2294,,,14,2,189
2302,,,30,0,77
2321,,,70,0,80
2355,,,222,0,100
2396,,,140,0,164
2617,,,101,0,96
2804,,,65,0,42
3175,,,80,0,177
3421,,,92,0,213
3471,,,83,0,170
551,,,190,2,184
903,,,61,0,63
1215,,,42,0,7
1333,,,24,0,9
1748,,,41,0,202
1921,,,43,0,172
2167,,,61,0,44
3418,,,4,0,114
2003,,,28,0,77
1129,,,18,0,19
2144,,,23,0,168
2248,,,12,0,170
1285,,,17,0,215
1372,,,7,0,177
1663,,,4,0,4
1722,,,6,0,114
1909,,,12,0,123
1994,,,12,0,9
2140,,,1,0,4
2699,,,2,0,4
2746,,,5,0,114
2763,,,17,0,59
2968,,,9,0,123
1569,,,2,2,50
2572,,,5,1,114
3752,,,5,1,114
1022,,,7,2,18
1028,,,136,0,181
1035,,,52,0,95
2080,,,49,0,18
2087,,,22,0,18
914,,,2,0,50
3948,,,125,1,25
4776,,,88,1,31
5502,,,85,1,173
48,,,18,2,178
2085,,,15,2,189
4979,,,101,1,128
3301,,,4,1,114
3623,,,13,1,185
4299,,,13,1,24
5299,,,49,1,168
4025,,,9,1,187
4308,,,25,1,113
4014,,,8,1,189
4016,,,2,2,189
34162,,,83,1,198
40815,,,161,1,138
41566,,,76,1,138
63082,,,93,1,203
4085,,,19,0,99
115617,,,9,1,153
76093,,,30,1,151
88125,,,26,1,151
115149,,,2,2,74
2424,,,8,2,114
3868,,,9,0,114
45447,,,41,1,151
52973,,,49,1,157
59369,,,21,1,203
81834,,,37,1,151
3082,,,1,1,114
45186,,,1,1,114
53322,,,2,1,114
58998,,,4,1,114
4718,,,1,2,50
8972,,,2,2,50
4848,,,41,1,199
54503,,,84,1,192
55820,,,88,1,127
6711,,,188,1,212
1953,,,18,0,1
3210,,,19,0,174
8970,,,2,2,114
1233,,,22,0,1
1249,,,17,0,8
1884,,,20,0,199
1274,,,8,0,202
29,,,3,2,43
35836,,,129,1,206
46976,,,21,1,156
47610,,,15,1,150
31696,,,4,1,114
5064,,,2,1,114
1262,,,17,0,205
1287,,,3,0,4
2407,,,9,0,114
969,,,4,0,4
1876,,,1,0,68
2023,,,12,0,205
30707,,,48,1,194
48385,,,100,1,195
49530,,,75,1,211
5010,,,60,1,41
8641,,,105,1,157
44195,,,21,1,130
6537,,,10,0,229
6947,,,18,1,32
2021,,,2,0,114
2908,,,1,2,43
345,,,1,2,43
4223,,,2,1,73
1204,,,33,0,129
1242,,,25,0,59
953,,,63,0,122
3363,,,8,2,43
108932,,,1,1,207
1302,,,57,0,149
1393,,,151,0,26
784,,,1,2,61
1367,,,2,2,64
786,,,18,2,144
1183,,,11,2,3
471,,,1,2,101
1673,,,12,0,114
2539,,,4,2,114
2006,,,33,0,59
4369,,,3,1,114
7090,,,44,1,145
1387,,,204,0,220
3481,,,143,0,47
3362,,,11,0,5
173,,,8,2,14
2712,,,36,0,199
2160,,,3,0,9
33166,,,73,1,76
81591,,,14,1,198
61323,,,6,1,114
92259,,,2,1,114
6708,,,13,1,212
2890,,,45,0,79
3552,,,60,0,213
1645,,,44,0,37
420,,,16,2,14
2871,,,1,0,4
2915,,,11,0,39
3256,,,1,0,4
788,,,12,2,60
22,,,1,2,43
2694,,,2,2,50
805,,,1,2,61
19,,,24,2,214
2231,,,11,0,73
2710,,,7,2,50
8464,,,64,1,212
4975,,,25,1,228
1320,,,14,0,10
1690,,,4,0,114
1997,,,42,0,9
8874,,,206,1,117
2455,,,16,0,10
54001,,,68,1,193
1244,,,3,0,125
51255,,,118,1,127
69481,,,10,1,74
2288,,,26,0,9
2403,,,1,0,225
2788,,,1,0,209
2289,,,3,0,43
41569,,,29,1,194
4270,,,5,1,114
52722,,,1,1,227
54259,,,3,1,159
6936,,,28,1,212
4641,,,5,0,114
30810,,,5,1,114
8622,,,6,1,114
6188,,,2,2,50
8376,,,4,1,50
6218,,,1,2,50
45720,,,1,2,50
8807,,,1,1,229
1172,,,1,0,40
